Partial Subkey,Bias
00,0.0013
01,0.0067
02,0.0064
03,0.0099
04,0.0027
05,0.0084
06,0.0017
07,0.0003
08,0.0046
09,0.006
0A,0.0041
0B,0.0016
0C,0.002
0D,0.0015
0E,0.0012
0F,0.0092
10,0.007
11,0.019
12,0.0133
13,0.0132
14,0.0002
15,0.0043
16,0.0078
17,0.0034
18,0.0045
19,0.0067
1A,0.0032
1B,0.0009
1C,0.0033
1D,0.0032
1E,0.0025
1F,0.0095
20,0.0076
21,0.0124
22,0.0075
23,0.015
24,0.0132
25,0.0099
26,0.0106
27,0.0038
28,0.0079
29,0.0011
2A,0.0018
2B,0.0015
2C,0.0019
2D,0.0094
2E,0.0045
2F,0.0093
30,0.014
31,0.0386
32,0.0205
33,0.0288
34,0.0038
35,0.0063
36,0.0062
37,0.0036
38,0.0001
39,0.0099
3A,0.0026
3B,0.0075
3C,0.0075
3D,0.0158
3E,0.0023
3F,0.0223
40,0.0086
41,0.0078
42,0.0161
43,0.0036
44,0.0134
45,0.0043
46,0.008
47,0.0048
48,0.0179
49,0.0051
4A,0.0088
4B,0.0003
4C,0.0137
4D,0.006
4E,0.0023
4F,0.0015
50,0.0053
51,0.0057
52,0.0122
53,0.0165
54,0.0041
55,0.0058
56,0.0023
57,0.0011
58,0.006
59,0.0094
5A,0.0013
5B,0.003
5C,0.0098
5D,0.0055
5E,0.001
5F,0.0014
60,0.0159
61,0.0087
62,0.0182
63,0.0151
64,0.0037
65,0.0006
66,0.0049
67,0.0037
68,0.0064
69,0.0052
6A,0.0095
6B,0.0064
6C,0.0022
6D,0.0009
6E,0.0086
6F,0.0014
70,0.0049
71,0.0029
72,0.0024
73,0.0071
74,0.0029
75,0.0008
76,0.0043
77,0.0009
78,0.007
79,0.0104
7A,0.0069
7B,0.0032
7C,0.0062
7D,0.0015
7E,0.0038
7F,0.004
80,0.0128
81,0.0128
82,0.0173
83,0.0066
84,0.0082
85,0.0043
86,0.0064
87,0.0022
88,0.0059
89,0.0017
8A,0.0038
8B,0.0001
8C,0.0085
8D,0.0022
8E,0.0023
8F,0.0023
90,0.0018
91,0.0012
92,0.0015
93,0.0014
94,0.0074
95,0.0029
96,0.0028
97,0.0024
98,0.0065
99,0.0069
9A,0.0012
9B,0.0033
9C,0.0001
9D,0.0028
9E,0.0025
9F,0.0031
A0,0.0124
A1,0.0042
A2,0.0075
A3,0.0028
A4,0.007
A5,0.0023
A6,0.0044
A7,0.0002
A8,0.0069
A9,0.0027
AA,0.0094
AB,0.0001
AC,0.0121
AD,0.0018
AE,0.0051
AF,0.0031
B0,0.0091
B1,0.0021
B2,0.0036
B3,0.0173
B4,0.0023
B5,0.0008
B6,0.0059
B7,0.0061
B8,0.005
B9,0.007
BA,0.0019
BB,0.0034
BC,0.0114
BD,0.0023
BE,0.0038
BF,0.0032
C0,0.0053
C1,0.0129
C2,0.0008
C3,0.0009
C4,0.0025
C5,0.0016
C6,0.0039
C7,0.0021
C8,0.0052
C9,0.0034
CA,0.0057
CB,0.0048
CC,0.0036
CD,0.0037
CE,0.0084
CF,0.0008
D0,0.0011
D1,0.0133
D2,0.0122
D3,0.0129
D4,0.0069
D5,0.0146
D6,0.0005
D7,0.0053
D8,0.0028
D9,0.0076
DA,0.0065
DB,0.0012
DC,0.002
DD,0.0027
DE,0.0016
DF,0.0138
E0,0.0017
E1,0.0067
E2,0.0064
E3,0.0147
E4,0.0065
E5,0.0004
E6,0.0179
E7,0.0049
E8,0.0096
E9,0.0132
EA,0.0051
EB,0.0018
EC,0.0006
ED,0.0089
EE,0.0086
EF,0.0136
F0,0.01
F1,0.019
F2,0.0133
F3,0.018
F4,0.009
F5,0.0037
F6,0.0084
F7,0.0018
F8,0.0097
F9,0.0005
FA,0.0042
FB,0.0011
FC,0.0059
FD,0.0106
FE,0.0049
FF,0.0139
